,Query,Search Option,Max Score,Mean Score,Min Score,Num of Documents
0,What is VeriSoft framework?,{'search_kwargs': {'k': 5}},0.14157341,0.10354414433240891,0.07132605,5.0
1,What is VeriSoft framework?,{'search_kwargs': {'k': 10}},0.141573,0.09294143598526716,0.028969971,10.0
2,What is VeriSoft framework?,{'search_kwargs': {'k': 15}},0.141573,0.09165952888627847,0.028969971,15.0
3,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.25}}",0.086916395,0.059262872114777564,0.028969971,5.0
4,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.5}}",0.09405318,0.06631836257874965,0.028969971,5.0
5,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'lambda_mult': 0.75}}",0.09405318,0.06239193789660931,0.028969971,5.0
6,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.25}}",0.09505441,0.06953474301844835,0.028969971,10.0
7,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.5}}",0.09505441,0.06953474301844835,0.028969971,10.0
8,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'lambda_mult': 0.75}}",0.141573,0.07732979822903871,0.028969971,10.0
9,What is VeriSoft framework?,"{'search_type': 'similarity_score_threshold', 'search_kwargs': {'score_threshold': 0.5}}",0.12053343,0.09403682686388493,0.07132605,4.0
10,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 30}}",0.09405318,0.06631836257874965,0.028969971,5.0
11,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 50}}",0.12150873,0.06417176611721516,0.028969971,5.0
12,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 5, 'fetch_k': 70}}",0.07132605,0.044180259481072424,0.0215512,5.0
13,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 30}}",0.09505441,0.06953474301844835,0.028969971,10.0
14,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 50}}",0.121509,0.06550769601017237,0.027188212,10.0
15,What is VeriSoft framework?,"{'search_type': 'mmr', 'search_kwargs': {'k': 10, 'fetch_k': 70}}",0.121509,0.05640773009508848,0.013508966,10.0
16,How to use the @DriverCapabilities annotation?,{'search_kwargs': {'k': 5}},0.949932,0.6744672179222106,0.2454691,5.0
17,How to use the @DriverCapabilities annotation?,{'search_kwargs': {'k': 10}},0.949932,0.7063332960009575,0.24546824,10.0
18,How to use the @DriverCapabilities annotation?,{'search_kwargs': {'k': 15}},0.949932,0.5957010628034671,0.015774446,15.0
